# Model     HD-He      HD-Ti      CD-He     CD-Ti
M08_10      3.1e-2     1.9e-3     1.9e-3    1.4e-5
M08_10r     3.6e-2     1.8e-3     1.4e-3    1.4e-5
M08_05      2.7e-2     2.7e-3     8.2e-5    1.2e-5
M08_03      1.8e-2     2.2e-4     3.2e-6    1.2e-5
M09_10      2.6e-2     8.5e-4     3.2e-3    1.6e-5
M09_10r     3.2e-2     8.9e-4     3.9e-3    1.6e-5
M09_05      2.5e-2     2.0e-3     1.9e-3    1.5e-5
M09_03      1.5e-2     7.2e-4     5.8e-4    1.4e-5
M10_10      2.1e-2     2.7e-4     6.5e-3    1.8e-5
M10_05      2.0e-2     7.9e-4     4.6e-3    2.1e-5
M10_03      1.3e-2     1.1e-3     5.1e-3    1.8e-5
M10_02      1.3e-2     5.7e-4     3.8e-3    1.8e-5
M11_05      1.0e-2     1.6e-4     8.4e-3    1.7e-5
